full_name,email_address,inspector_role,is_inspector,assigned_region
Bret Finnegan,bfinnegan@maveninspectionalservices.onmicrosoft.com,Inspector,1,1
Dillon Krueger,dkrueger@maveninspectionalservices.onmicrosoft.com,Inspector,1,2
Kathy Meza,kmeza@maveninspectionalservices.onmicrosoft.com,Inspector,1,3
Jake Kay,jkay@maveninspectionalservices.onmicrosoft.com,Inspector,1,4
Benny Blanco,bblanco@maveninspectionalservices.onmicrosoft.com,Inspector,1,5
David Schmitt,dschmitt@maveninspectionalservices.onmicrosoft.com,Lead Inspector,1,6
Jenna Stubbs,jstubbs@maveninspectionalservices.onmicrosoft.com,Inspector,1,7
Rahul Riggs,rriggs@maveninspectionalservices.onmicrosoft.com,Inspector,1,8
Dirk Gently,dgently@maveninspectionalservices.onmicrosoft.com,Inspector,1,9
Susie Salt,ssalt@maveninspectionalservices.onmicrosoft.com,Inspector,1,10
Sarah Murphy,smurphy@maveninspectionalservices.onmicrosoft.com,Inspector,1,11
Adam Juan,ajuan@maveninspectionalservices.onmicrosoft.com,Inspector,1,12
Mark Tyson,mtyson@maveninspectionalservices.onmicrosoft.com,Inspector,1,13
Aden Holt,aholt@maveninspectionalservices.onmicrosoft.com,Inspector,1,14
Lauren Burns,lburns@maveninspectionalservices.onmicrosoft.com,Inspector,1,15
Jean LeBean ,jlebean@maveninspectionalservices.onmicrosoft.com,Inspector,1,16
Samantha Cook,scook@maveninspectionalservices.onmicrosoft.com,Chief Inspector,0,0
